"name","screen_name","text","polarity","subjectivity","label"
"Messi Bhai","sandywaves07","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"A.S","AlkeshSolomon","RT @yksingh26: Wasn't #DeMonetisation supposed to curb stone pelting ?Didn't we hear voices propagating theories that Demonetization has dr…","0.00","0.00","NEGATIVE"
"Gaurav Raj","jarvaruag","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"Anti- Conversion","anti_conversion","RT @AmiteshK01: 3 Years of BJP in Power, #Demonetization still @sagarikaghose @BDUTT @RanaAyyub getting money from Pak...Still loopholes in…","0.00","0.00","NEGATIVE"
"Aswith","shenoy316","@RazdanNidhi Also to hail modi and his development he brought without mentioning his degree , where he sold chai an… https://t.co/3S1SeScPY4","0.00","0.00","NEGATIVE"
"Luttapi","Luttapi2","RT @yksingh26: Wasn't #DeMonetisation supposed to curb stone pelting ?Didn't we hear voices propagating theories that Demonetization has dr…","0.00","0.00","NEGATIVE"
"Mehek","MehekF","RT @yksingh26: Wasn't #DeMonetisation supposed to curb stone pelting ?Didn't we hear voices propagating theories that Demonetization has dr…","0.00","0.00","NEGATIVE"
"Annie Lowrey","AnnieLowrey","RT @CGDev: This Tuesday join #CGDTalks discussion on #India's econ w/ @arvindsubraman &amp; moderated by @AnnieLowrey https://t.co/blTu79faHP","0.00","0.00","NEGATIVE"
"shan","thikalbrad","RT @yksingh26: Wasn't #DeMonetisation supposed to curb stone pelting ?Didn't we hear voices propagating theories that Demonetization has dr…","0.00","0.00","NEGATIVE"
"solange pedreira","solangepedreir1","RT @CardFlash: Indian Diaspora Prepaid Cards Lead Government Demonetization Mandate https://t.co/i1YbPXTdh4 #payments https://t.co/wUO774x1…","0.00","0.00","NEGATIVE"
"Aseem Kaushik","UskiWhiskey","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
"blank","only_brain","RT @aaanupriyaaa: Dear @evanspiegel 
India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually poo…","0.19","0.42","POSITIVE"
